path,filename,title,description,type,author,newsletter_number,estimated_date,legacy_url,slug
newsletters/32restorationofallthings.htm,32restorationofallthings.htm,Newsletter #32 - The Salvation of All Man,God is able to save all men (1 Corinthians 15:21-22) in His due time instead of the common teaching of eternal torment,newsletter,Paul Jablonowski,32,2018-07-31,/newsletters/32restorationofallthings.htm,32-the-salvation-of-all-man
newsletters/33heartofdavid.htm,33heartofdavid.htm,Newsletter #33 - He has Exalted the Lowly,"The Lowly rule with Jesus (Psalm 110). We are now publishing Miles Albright's book - Tale of Two Hearts - 
on the hearts of David and Saul from 1 Samuel 13-26. Request your copy now",newsletter,Paul Jablonowski,33,2018-12-10,/newsletters/33heartofdavid.htm,33-he-has-exalted-the-lowly
newsletters/34tentofdavid.htm,34tentofdavid.htm,Newsletter #34 - The Tabernacle of David,The Tent of David is being established again in our generation which is a continual time of worship in song to our Father God,newsletter,Paul Jablonowski,34,2019-04-21,/newsletters/34tentofdavid.htm,34-the-tabernacle-of-david
newsletters/35endingabortion.htm,35endingabortion.htm,Newsletter #35 - Ending Abortion,Abortion is ending in our generation which is also ending a cycle of judgment from God,newsletter,Paul Jablonowski,35,2019-06-09,/newsletters/35endingabortion.htm,35-ending-abortion
newsletters/36SecondPentecost.htm,36SecondPentecost.htm,Newsletter #36 Hanukkah - A Second Pentecost,Another Pentecost awaits our generation to fulfill the second half of Joel 2:32 which is the restoration of Mount Zion in Jerusalem Israel,newsletter,Paul Jablonowski,36,2019-12-25,/newsletters/36SecondPentecost.htm,36-hanukkah-a-second-pentecost
newsletters/37OrderofMelchiZedek.htm,37OrderofMelchiZedek.htm,Newsletter #37 The Melchizedek Order priesthood of Jesus,"Jesus is the King of Righteousness: which is Melchi Zedek in Hebrew. 
Since we are IN HIM, we can also be a part of His government on the earth as it is in heaven!",newsletter,Paul Jablonowski,37,2020-04-15,/newsletters/37OrderofMelchiZedek.htm,37-the-melchizedek-order-priesthood-of-jesus
newsletters/38KingdomofGodonEarth.htm,38KingdomofGodonEarth.htm,Newsletter #38 The Kingdom of God on Earth,"Other than Him being a good good Father, God's kingdom on the earth is best described by the seven Spirits of God (Isa. 11:2)",newsletter,Paul Jablonowski,38,2020-06-21,/newsletters/38KingdomofGodonEarth.htm,38-the-kingdom-of-god-on-earth
newsletters/39Jubilee.htm,39Jubilee.htm,Newsletter #39 An American Jubilee,All debts are cancelled and sins forgiven in the year of Jubilee.,newsletter,Paul Jablonowski,39,2020-09-28,/newsletters/39Jubilee.htm,39-an-american-jubilee
newsletters/40TheCovenantCircle.htm,40TheCovenantCircle.htm,Newsletter #40 The Covenant Circle,The 66 books of the Bible can be spiraled in a circle with a Cross at the center creating amazing patterns greater than Solomon,newsletter,Paul Jablonowski,40,2021-04-27,/newsletters/40TheCovenantCircle.htm,40-the-covenant-circle
newsletters/41JOY.htm,41JOY.htm,"Newsletter #41 J.O.Y. spells Jesus, Others, then Yourself","My purpose is found in J.O.Y. where Jesus is first, then Others, and last is Yourself.",newsletter,Paul Jablonowski,41,2021-06-20,/newsletters/41JOY.htm,41-joy-spells-jesus-others-then-yourself
rolandpletts/abba.htm,abba.htm,Abba book by Roland Pletts,"Roland Pletts fiction book on Daniel, Maria and Abba the Tramp",guest-author,Roland Pletts,,,/rolandpletts/abba.htm,abba
rolandpletts/about.htm,about.htm,About Roland Pletts,About Roland Pletts and his Christian Writings and books on the Shekinah Glory of Christ at His Coming,guest-author,Roland Pletts,,,/rolandpletts/about.htm,about
rolandpletts/books.htm,books.htm,Roland Pletts Christian writings,Christian articles and writings by Roland Pletts,guest-author,Roland Pletts,,,/rolandpletts/books.htm,books
rolandpletts/index.htm,index.htm,Covenant Book by Roland Pletts,This Christian book by Roland Pletts discusses the second coming of Christ Jesus and His Covenant with His people.,guest-author,Roland Pletts,,,/rolandpletts/index.htm,index
index.html,index.html,Sons To Glory books | Everlasting Kingdom of Jesus,"Sons to Glory offers free books about the Everlasting
Kingdom of Yeshua! (Jesus), Spiritual Maturity, Sonship, Fatherhood & apostles of Jesus",index,Paul Jablonowski,,,/index.html,index
milesalbright/MilesAlbright2733teaching.html,MilesAlbright2733teaching.html,2733 Revelation videos by Miles Wylie Albright,Videos by Miles Albright discussing the 2733 Revelation.,guest-author,Miles Wylie Albright,,2007,/milesalbright/MilesAlbright2733teaching.html,milesalbright2733teaching
